date,open,high,low,close,volume,market_cap
2020-11-12,15684.25000000,16340.70000000,15440.64000000,16291.86000000,28001128791.211353,301529322417.4614
2020-11-13,16291.85000000,16480.00000000,15952.35000000,16320.70000000,24826304419.55837,302672502422.09
2020-11-14,16320.04000000,16326.99000000,15670.00000000,16070.45000000,22096608221.167004,298290647831.24426
2020-11-15,16069.56000000,16180.00000000,15774.72000000,15957.00000000,19184714602.510406,296277008765.18964
2020-11-16,15957.00000000,16880.00000000,15864.00000000,16713.57000000,24606359052.384533,309857769717.0289
2020-11-17,16713.08000000,17858.82000000,16538.00000000,17659.38000000,31572384445.72333,327448838765.29767
2020-11-18,17659.38000000,18476.93000000,17214.45000000,17776.12000000,40089857655.31074,330792375072.03064
2020-11-19,17777.75000000,18179.80000000,17335.65000000,17802.82000000,30586797551.711708,330526082018.5286
2020-11-20,17802.81000000,18815.22000000,17740.04000000,18655.67000000,28731271104.013725,345552251091.15924
2020-11-21,18655.66000000,18965.90000000,18308.58000000,18703.80000000,31201880851.778336,346623937352.1668
2020-11-22,18703.80000000,18750.00000000,17610.86000000,18414.43000000,33010231293.95878,342078349285.0962
2020-11-23,18413.88000000,18766.00000000,18000.00000000,18368.00000000,33389683851.4282,340635146714.39825
2020-11-24,18368.01000000,19418.97000000,18018.00000000,19160.01000000,49429532567.3455,354209935573.8031
2020-11-25,19160.00000000,19484.21000000,18500.27000000,18719.11000000,32146102840.277466,348158099247.1633
2020-11-26,18718.83000000,18915.03000000,16188.00000000,17149.47000000,48738957776.520256,317999016791.45123
2020-11-27,17149.47000000,17457.62000000,16438.08000000,17139.52000000,30680336583.342796,318057301370.37897
2020-11-28,17139.53000000,17880.49000000,16865.56000000,17719.85000000,24501260966.046284,328812520405.74207
2020-11-29,17719.84000000,18360.05000000,17517.00000000,18184.99000000,23940328528.71234,336495192223.0139
2020-11-30,18185.00000000,19863.16000000,18184.99000000,19695.87000000,36160827241.441734,363927715778.6875
2020-12-01,19695.87000000,19888.00000000,18001.12000000,18764.96000000,38614628143.57325,349587593227.14185
2020-12-02,18764.96000000,19342.00000000,18330.00000000,19204.09000000,28923102074.82652,356517705143.29443
2020-12-03,19204.08000000,19598.00000000,18867.20000000,19421.90000000,24342606870.708958,360661550057.2975
2020-12-04,19422.34000000,19527.00000000,18565.31000000,18650.52000000,26369871383.262005,347850442856.6359
2020-12-05,18650.51000000,19177.00000000,18500.00000000,19147.66000000,23333284386.26552,355244908734.6481
2020-12-06,19147.66000000,19420.00000000,18857.00000000,19359.40000000,21832193872.698597,358762118305.1145
2020-12-07,19358.67000000,19420.91000000,18902.88000000,19166.90000000,22034483383.94943,356587934226.10187
2020-12-08,19166.90000000,19294.84000000,18200.00000000,18324.11000000,26799991795.55794,340435142947.90857
2020-12-09,18324.11000000,18639.57000000,17650.00000000,18541.28000000,29806757748.847992,344693077429.9694
2020-12-10,18541.29000000,18557.32000000,17911.12000000,18254.63000000,24092658533.60422,339714540194.3479
2020-12-11,18254.81000000,18292.73000000,17572.33000000,18036.53000000,26080197328.252396,335310805699.2893
2020-12-12,18036.53000000,18948.66000000,18020.70000000,18808.69000000,21918803313.730873,349235537025.78625
2020-12-13,18808.69000000,19411.00000000,18711.12000000,19174.99000000,23550581096.074562,355642790361.31714
2020-12-14,19174.99000000,19349.00000000,19000.00000000,19273.14000000,21638023119.81534,357681110300.36426
2020-12-15,19273.69000000,19570.00000000,19050.00000000,19426.43000000,24173322660.107285,360542942204.959
2020-12-16,19426.43000000,21560.00000000,19278.60000000,21335.52000000,39062639738.04841,396179736655.63983
2020-12-17,21335.52000000,23800.00000000,21230.00000000,22797.16000000,60693764158.56218,423587689809.2768
2020-12-18,22797.15000000,23285.18000000,22350.00000000,23107.39000000,37000188847.409645,429459534590.4159
2020-12-19,23107.39000000,24171.47000000,22750.00000000,23821.61000000,35252972899.69343,443289431125.4617
2020-12-20,23821.60000000,24295.00000000,23060.00000000,23455.52000000,32907758817.840942,436893169132.7113
2020-12-21,23455.54000000,24102.77000000,21815.00000000,22719.71000000,38423396405.393135,424329939581.7774
2020-12-22,22719.88000000,23837.10000000,22353.40000000,23810.79000000,38733771616.273865,441752551013.19135
2020-12-23,23810.79000000,24100.00000000,22600.00000000,23232.76000000,42917744239.8244,433051601800.69293
2020-12-24,23232.39000000,23794.43000000,22703.42000000,23729.20000000,36826373658.97133,441614502954.16315
2020-12-25,23728.99000000,24789.86000000,23433.60000000,24712.47000000,36622874229.82892,458416319552.32434
2020-12-26,24712.47000000,26867.03000000,24500.00000000,26493.39000000,41995154622.74047,491978602969.93176
2020-12-27,26493.40000000,28422.00000000,25700.00000000,26281.66000000,56654980595.93094,493427450341.26013
2020-12-28,26281.54000000,27500.00000000,26101.00000000,27079.41000000,42186521237.4668,503712223153.6673
2020-12-29,27079.42000000,27410.00000000,25880.00000000,27385.00000000,38081840205.60215,509680257177.0481
2020-12-30,27385.00000000,28996.00000000,27320.00000000,28875.54000000,43341140482.282166,535967306917.84125
2020-12-31,28875.55000000,29300.00000000,27850.00000000,28923.63000000,43503516563.294876,539438036435.6701
