Date,Open*,High,Low,Close**,Volume,Market Cap
11/9/2020,15475.1,15840,14805.54,15328.41,29501754043,2.84292E+11
11/10/2020,15328.41,15460,15072.46,15297.21,21918753733,2.83242E+11
11/11/2020,15297.21,15965,15272.68,15684.24,23990613793,2.91215E+11
11/12/2020,15684.25,16340.7,15440.64,16291.86,28001128791,3.01529E+11
11/13/2020,16291.85,16480,15952.35,16320.7,24826304420,3.02673E+11
11/14/2020,16320.04,16326.99,15670,16070.45,22096608221,2.98291E+11
11/15/2020,16069.56,16180,15774.72,15957,19184714603,2.96277E+11
11/16/2020,15957,16880,15864,16713.57,24606359052,3.09858E+11
11/17/2020,16713.08,17858.82,16538,17659.38,31572384446,3.27449E+11
11/18/2020,17659.38,18476.93,17214.45,17776.12,40089857655,3.30792E+11
11/19/2020,17777.75,18179.8,17335.65,17802.82,30586797552,3.30526E+11
11/20/2020,17802.81,18815.22,17740.04,18655.67,28731271104,3.45552E+11
11/21/2020,18655.66,18965.9,18308.58,18703.8,31201880852,3.46624E+11
11/22/2020,18703.8,18750,17610.86,18414.43,33010231294,3.42078E+11
11/23/2020,18413.88,18766,18000,18368,33389683851,3.40635E+11
11/24/2020,18368.01,19418.97,18018,19160.01,49429532567,3.5421E+11
11/25/2020,19160,19484.21,18500.27,18719.11,32146102840,3.48158E+11
11/26/2020,18718.83,18915.03,16188,17149.47,48738957777,3.17999E+11
11/27/2020,17149.47,17457.62,16438.08,17139.52,30680336583,3.18057E+11
11/28/2020,17139.53,17880.49,16865.56,17719.85,24501260966,3.28813E+11
11/29/2020,17719.84,18360.05,17517,18184.99,23940328529,3.36495E+11
11/30/2020,18185,19863.16,18184.99,19695.87,36160827241,3.63928E+11
12/1/2020,19695.87,19888,18001.12,18764.96,38614628144,3.49588E+11
12/2/2020,18764.96,19342,18330,19204.09,28923102075,3.56518E+11
12/3/2020,19204.08,19598,18867.2,19421.9,24342606871,3.60662E+11
12/4/2020,19422.34,19527,18565.31,18650.52,26369871383,3.4785E+11
12/5/2020,18650.51,19177,18500,19147.66,23333284386,3.55245E+11
12/6/2020,19147.66,19420,18857,19359.4,21832193873,3.58762E+11
12/7/2020,19358.67,19420.91,18902.88,19166.9,22034483384,3.56588E+11
12/8/2020,19166.9,19294.84,18200,18324.11,26799991796,3.40435E+11
12/9/2020,18324.11,18639.57,17650,18541.28,29806757749,3.44693E+11
12/10/2020,18541.29,18557.32,17911.12,18254.63,24092658534,3.39715E+11
12/11/2020,18254.81,18292.73,17572.33,18036.53,26080197328,3.35311E+11
12/12/2020,18036.53,18948.66,18020.7,18808.69,21918803314,3.49236E+11
12/13/2020,18808.69,19411,18711.12,19174.99,23550581096,3.55643E+11
12/14/2020,19174.99,19349,19000,19273.14,21638023120,3.57681E+11
12/15/2020,19273.69,19570,19050,19426.43,24173322660,3.60543E+11
12/16/2020,19426.43,21560,19278.6,21335.52,39062639738,3.9618E+11
12/17/2020,21335.52,23800,21230,22797.16,60693764159,4.23588E+11
